ts,ticker,series,fav_side,fav_price,price_bin,event_cluster_id,mid,ask_close,ask_low,quote,filled,fill_px,settle,pnl,d_mid,volume,lead_h,spread_at_fill
1785027600,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.115,0.14,0.13,0.13,True,0.13,0.0,-0.13,0.0,0.0,641.5,0.05000000000000002
1785038400,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.115,0.14,0.14,0.13,False,,0.0,,-0.0050000000000000044,0.0,638.5,0.05000000000000002
1785042000,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.11,0.13,0.13,0.12000000000000001,False,,0.0,,0.0,0.0,637.5,0.04000000000000001
1785056400,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.11,0.13,0.13,0.12000000000000001,False,,0.0,,0.0,0.0,633.5,0.04000000000000001
1785074400,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.11,0.13,0.12,0.12000000000000001,True,0.12000000000000001,0.0,-0.12000000000000001,0.0,0.0,628.5,0.04000000000000001
1785096000,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.11,0.13,0.13,0.12000000000000001,False,,0.0,,0.0,0.0,622.5,0.04000000000000001
1785110400,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.11,0.13,0.12,0.12000000000000001,True,0.12000000000000001,0.0,-0.12000000000000001,0.0,0.0,618.5,0.04000000000000001
1785114000,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.11,0.13,0.13,0.12000000000000001,False,,0.0,,-0.015,0.0,617.5,0.04000000000000001
1785117600,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.095,0.11,0.11,0.1,False,,0.0,,0.0,0.0,616.5,0.03
1785139200,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.095,0.11,0.11,0.1,False,,0.0,,0.0,0.0,610.5,0.03
